"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","ctsm51fates_derecho_2s_sp","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","112.617","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","ctsm51fates_derecho_2s_sp","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg yr-1","1.90728","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","ctsm51fates_derecho_2s_sp","Period Mean (original grids)","MeanState","global","scalar","Pg yr-1","141.559","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","ctsm51fates_derecho_2s_sp","Model Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","118.246","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","ctsm51fates_derecho_2s_sp","Model Period Mean (complement)","MeanState","global","scalar","Pg yr-1","23.2666","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","ctsm51fates_derecho_2s_sp","Spatial Distribution Score","MeanState","global","score","1","0.964166","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","ctsm51fates_derecho_2s_sp","Phase Shift","MeanState","global","scalar","months","0.834355","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","ctsm51fates_derecho_2s_sp","Seasonal Cycle Score","MeanState","global","score","1","0.830099","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","ctsm51fates_derecho_2s_sp","Bias","MeanState","global","scalar","g m-2 d-1","0.564954","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","ctsm51fates_derecho_2s_sp","Bias Score","MeanState","global","score","1","0.486153","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","GBAF","ctsm51fates_derecho_2s_sp","RMSE","MeanState","global","scalar","g m-2 d-1","1.38519","75.0"
